,line,sentiment,section,artist,line_number
96,"Yeah, yeah, yeah",0,Chorus,Cardi B (AI),65
97,"Yeah, you dealin’ with some powerful women",0,Chorus,Cardi B (AI),66
98,Bring respect and your love for these powerful women,0,Chorus,Cardi B (AI),67
99,Give me everything you got for these powerful women,0,Chorus,Cardi B (AI),68
100,"Now from the top, watch us rise, we are powerful women",0,Chorus,Cardi B (AI),69
101,"Now clap your hands to the sky, we are powerful women",0,Chorus,Cardi B (AI),70
102,"I’m talkin’ rise, rise, rise, we are powerful women",0,Chorus,Cardi B (AI),71
103,"Building dreams that don’t stop, we are powerful women, huh",0,Chorus,Cardi B (AI),72
104,There’s some stars in this house,0,Outro,Cardi B (AI),73
105,There’s some stars in this house,0,Outro,Cardi B (AI),74
106,There’s some stars in this house,0,Outro,Cardi B (AI),75
107,There’s some stars in this house,0,Outro,Cardi B (AI),76
108,There’s some stars in this house,0,Outro,Cardi B (AI),77
109,There’s some stars in this house,0,Outro,Cardi B (AI),78
110,There’s some stars in this house,0,Outro,Cardi B (AI),79
111,There’s some stars in this house,0,Outro,Cardi B (AI),80
112,There’s some stars in this house,0,Outro,Cardi B (AI),81
113,There’s some stars in this house,0,Outro,Cardi B (AI),82
114,"I see your smile shine, island beauty, so sweet",0,Verse,Elton John (AI),1
115,Down where sunshine falls and ocean waves meet,0,Verse,Elton John (AI),2
116,"Oh, she’s a strong girl, she’s standin’ six-foot-three",0,Verse,Elton John (AI),3
117,Chasin’ dreams of her own in the big city,0,Verse,Elton John (AI),4
118,Island girl,0,Chorus,Elton John (AI),5
119,What you bringin’ to this bright new world?,0,Chorus,Elton John (AI),6
120,Island girl,0,Chorus,Elton John (AI),7
121,Proud boy want you in his island world,0,Chorus,Elton John (AI),8
122,"He want to lift you, watch you rise above",0,Chorus,Elton John (AI),9
123,He want to guide you with a heart of love,0,Chorus,Elton John (AI),10
124,"Island girl, island girl, island girl",0,Chorus,Elton John (AI),11
125,Tell me what you bringin’ to this bright new world,0,Chorus,Elton John (AI),12
126,"Well, she’s bright as gold, and she shines like a fire",0,Verse,Elton John (AI),13
127,"And her laughter lifts you, taking you higher",0,Verse,Elton John (AI),14
128,You feel her spirit touch your soul when you wake,0,Verse,Elton John (AI),15
129,"Oh, she’s one more star, and her path she will make",0,Verse,Elton John (AI),16
130,Island girl,0,Chorus,Elton John (AI),17
131,What you bringin’ to this bright new world?,0,Chorus,Elton John (AI),18
132,Island girl,0,Chorus,Elton John (AI),19
133,Proud boy want you in his island world,0,Chorus,Elton John (AI),20
134,"He want to lift you, watch you rise above",0,Chorus,Elton John (AI),21
135,He want to guide you with a heart of love,0,Chorus,Elton John (AI),22
136,"Island girl, island girl, island girl",0,Chorus,Elton John (AI),23
137,Tell me what you bringin’ to this bright new world,0,Chorus,Elton John (AI),24
138,Island girl,0,Chorus,Elton John (AI),25
139,What you bringin’ to this bright new world?,0,Chorus,Elton John (AI),26
140,Island girl,0,Chorus,Elton John (AI),27
141,Proud boy want you in his island world,0,Chorus,Elton John (AI),28
142,"He want to lift you, watch you rise above",0,Chorus,Elton John (AI),29
143,He want to guide you with a heart of love,0,Chorus,Elton John (AI),30
144,"Island girl, island girl, island girl",0,Chorus,Elton John (AI),31
145,Tell me what you bringin’ to this bright new world,0,Chorus,Elton John (AI),32
146,Tell me what you bringin’ to this bright new world,0,Chorus,Elton John (AI),33
147,Tell me what you bringin’ to this bright new world,0,Chorus,Elton John (AI),34
148,I cannot feel guilty for things I didn’t do,0,Verse,Tom Macdonald (AI),1
149,But I can take the time to learn and listen to you,0,Verse,Tom Macdonald (AI),2
150,"Yeah, I’m standin’, but I never put your neck in a noose",0,Verse,Tom Macdonald (AI),3
151,And I never burnt a cross or hid my face with a hood,0,Verse,Tom Macdonald (AI),4
152,"I know that history’s painful, it’s deeper than me",1,Verse,Tom Macdonald (AI),5
153,And the struggles of the past still shape what people now see,0,Verse,Tom Macdonald (AI),6
154,My parents told me always treat everyone as equal,0,Verse,Tom Macdonald (AI),7
155,And I refuse to let division turn us into evil,0,Verse,Tom Macdonald (AI),8
156,"I reject hatred, I reject supremacy",0,Verse,Tom Macdonald (AI),9
157,I reject any voice that thrives on bigotry,1,Verse,Tom Macdonald (AI),10
158,"We gotta heal together, the cycle is pathetic",1,Verse,Tom Macdonald (AI),11
159,"Instead of building walls, let’s build respect empathetic",1,Verse,Tom Macdonald (AI),12
160,"I’m not the villain, not the one pulling a trigger",1,Verse,Tom Macdonald (AI),13
161,I’m learning every day how to stand up bigger,0,Verse,Tom Macdonald (AI),14
162,"The system has its flaws, but together we can fight",0,Verse,Tom Macdonald (AI),15
163,To make the world a place where we all share the light,0,Verse,Tom Macdonald (AI),16
164,"Stand up, don’t say that",1,Chorus,Tom Macdonald (AI),17
165,"Stand up, learn the facts",0,Chorus,Tom Macdonald (AI),18
166,"Stand up, use your voice back",0,Chorus,Tom Macdonald (AI),19
167,"Stand up, dear ally",0,Chorus,Tom Macdonald (AI),20
168,"Stand up, make noise",0,Chorus,Tom Macdonald (AI),21
169,Sayin’ things that can lift with a true voice,0,Chorus,Tom Macdonald (AI),22
170,"Stand tall, stand wise",0,Chorus,Tom Macdonald (AI),23
171,Try to see the world through another’s eyes,0,Chorus,Tom Macdonald (AI),24
172,If a brother is sippin’ on a drink right next to me,1,Verse,Tom Macdonald (AI),25
173,I don’t assume that his taste defines his whole identity,1,Verse,Tom Macdonald (AI),26
174,"I don’t judge by a name, I don’t waste energy",0,Verse,Tom Macdonald (AI),27
175,"That’s not the life I want, and it’s not integrity",1,Verse,Tom Macdonald (AI),28
176,"Ivory or ebony, forty-five or seventeen",0,Verse,Tom Macdonald (AI),29
177,"We all bleed the same, truth connects humanity",0,Verse,Tom Macdonald (AI),30
178,Some say that I don’t have the right to rap on the track,1,Verse,Tom Macdonald (AI),31
179,"But I’m here to give respect, not to take it all back",0,Verse,Tom Macdonald (AI),32
180,"I acknowledge where it started, I acknowledge the flame",0,Verse,Tom Macdonald (AI),33
181,"But together we can build, not repeat all the same",0,Verse,Tom Macdonald (AI),34
182,Don’t let history define how the hate will begin,1,Verse,Tom Macdonald (AI),35
183,We gotta paint the future with a new brush within,0,Verse,Tom Macdonald (AI),36
184,"Stand up, don’t say that",1,Chorus,Tom Macdonald (AI),37
185,"Stand up, learn the facts",0,Chorus,Tom Macdonald (AI),38
186,"Stand up, use your voice back",0,Chorus,Tom Macdonald (AI),39
187,"Stand up, dear ally",0,Chorus,Tom Macdonald (AI),40
188,"Stand up, make noise",0,Chorus,Tom Macdonald (AI),41
189,Sayin’ things that can lift with a true voice,0,Chorus,Tom Macdonald (AI),42
190,"Stand tall, stand wise",0,Chorus,Tom Macdonald (AI),43
191,Try to see the world through another’s eyes,0,Chorus,Tom Macdonald (AI),44
192,"I got a mother, a father, a sister, and friends",0,Verse,Tom Macdonald (AI),45
193,"And I pray that when the hatred ends, the healing begins",0,Verse,Tom Macdonald (AI),46
194,And one day I’ll be raising a family too,0,Verse,Tom Macdonald (AI),47
195,"I want a better world for them, and for you",0,Verse,Tom Macdonald (AI),48
196,"So go ahead and hate injustice, I pray for its extinction",1,Verse,Tom Macdonald (AI),49
197,But please make the line clear with a careful distinction,0,Verse,Tom Macdonald (AI),50
198,Between the ones who spread love and want the best for all,0,Verse,Tom Macdonald (AI),51
199,And the ones who built a system made to watch some fall,1,Verse,Tom Macdonald (AI),52
200,"I hear the question rising, I know what you been thinkin’",0,Verse,Tom Macdonald (AI),53
201,“How’s a man of privilege say his ship is sinkin’?”,1,Verse,Tom Macdonald (AI),54
202,But I’m not here to center me or demonize a race,1,Verse,Tom Macdonald (AI),55
203,I’m here to lift the voices that the world can’t replace,0,Verse,Tom Macdonald (AI),56
204,I acknowledge all the pain that’s been wrongly committed,0,Verse,Tom Macdonald (AI),57
205,And I’ll keep on standin’ up till the wrongs are acquitted,0,Verse,Tom Macdonald (AI),58
206,I would never hate a man for the color of skin,0,Verse,Tom Macdonald (AI),59
207,I would never try to judge for the place he’s been in,0,Verse,Tom Macdonald (AI),60
208,I would never call a soul less for what’s in his genes,0,Verse,Tom Macdonald (AI),61
209,"We’re all part of the story, every page in between",0,Verse,Tom Macdonald (AI),62
210,"The ones who harm and profit, they are those in control",1,Verse,Tom Macdonald (AI),63
211,"The Rockefellers, royals, those who purchase and own",0,Verse,Tom Macdonald (AI),64
212,But I got no patience for the hate they spread,1,Verse,Tom Macdonald (AI),65
213,"It’s just hatred feeding hatred, and it grows instead",1,Verse,Tom Macdonald (AI),66
214,I don’t want nothin’ to do with either side of that fence,1,Verse,Tom Macdonald (AI),67
215,"I’d rather stand in the middle, make a change with intent",1,Verse,Tom Macdonald (AI),68
216,Don’t believe the portrayal that the movies still choose,1,Verse,Tom Macdonald (AI),69
217,Let’s break the chains of the image and rewrite the news,1,Verse,Tom Macdonald (AI),70
218,"Bein’ proud and bein’ hateful ain’t the same, let’s be honest",0,Bridge,Tom Macdonald (AI),71
219,It’s hard to see the difference but I promise upon this,0,Bridge,Tom Macdonald (AI),72
220,We deserve the chance to prove we’re not part of the problem,0,Bridge,Tom Macdonald (AI),73
221,"And if we walk together, then the pain—we can solve it",0,Bridge,Tom Macdonald (AI),74
222,"Stand up, don’t say that",1,Chorus,Tom Macdonald (AI),75
223,"Stand up, learn the facts",0,Chorus,Tom Macdonald (AI),76
224,"Stand up, use your voice back",0,Chorus,Tom Macdonald (AI),77
225,"Stand up, dear ally",0,Chorus,Tom Macdonald (AI),78
226,"Stand up, make noise",0,Chorus,Tom Macdonald (AI),79
227,Sayin’ things that can lift with a true voice,0,Chorus,Tom Macdonald (AI),80
228,"Stand tall, stand wise",0,Chorus,Tom Macdonald (AI),81
229,Try to see the world through another’s eyes,0,Chorus,Tom Macdonald (AI),82
230,"Stand up, don’t say that",1,Chorus,Tom Macdonald (AI),83
231,"Stand up, learn the facts",0,Chorus,Tom Macdonald (AI),84
232,"Stand up, use your voice back",0,Chorus,Tom Macdonald (AI),85
233,"Stand up, dear ally",0,Chorus,Tom Macdonald (AI),86
