,artist,version,line_number,line
277,Elton John,transformed,16,"Oh, she’s one more star, and her path she will make"
278,Elton John,transformed,17,Island girl
279,Elton John,transformed,18,What you bringin’ to this bright new world?
280,Elton John,transformed,19,Island girl
281,Elton John,transformed,20,Proud boy want you in his island world
282,Elton John,transformed,21,"He want to lift you, watch you rise above"
283,Elton John,transformed,22,He want to guide you with a heart of love
284,Elton John,transformed,23,"Island girl, island girl, island girl"
285,Elton John,transformed,24,Tell me what you bringin’ to this bright new world
286,Elton John,transformed,25,Island girl
287,Elton John,transformed,26,What you bringin’ to this bright new world?
288,Elton John,transformed,27,Island girl
289,Elton John,transformed,28,Proud boy want you in his island world
290,Elton John,transformed,29,"He want to lift you, watch you rise above"
291,Elton John,transformed,30,He want to guide you with a heart of love
292,Elton John,transformed,31,"Island girl, island girl, island girl"
293,Elton John,transformed,32,Tell me what you bringin’ to this bright new world
294,Elton John,transformed,33,Tell me what you bringin’ to this bright new world
295,Elton John,transformed,34,Tell me what you bringin’ to this bright new world
296,Tom Macdonald,original,1,I cannot feel guilty for shit that I didn't do
297,Tom Macdonald,original,2,But I can understand the reasons why you think that I should
298,Tom Macdonald,original,3,"Yeah, I'm white, but I never put your neck in no noose"
299,Tom Macdonald,original,4,And I never burnt a cross or hid my face with a hood
300,Tom Macdonald,original,5,You can't just label me racist 'cause I'm related to people
301,Tom Macdonald,original,6,Who did some terrible shit way back before I was alive
302,Tom Macdonald,original,7,My parents brought me up to treat everyone as an equal
303,Tom Macdonald,original,8,I refuse to feel ashamed 'cause of my pretty blue eyes
304,Tom Macdonald,original,9,"Fuck a Nazi, fuck a white supremacist"
305,Tom Macdonald,original,10,Fuck anyone who labels me as that because of my family genetics
306,Tom Macdonald,original,11,The hatred for Caucasians is so fuckin' pathetic
307,Tom Macdonald,original,12,"Go be proud that you're black, but don't hate me for some credit"
308,Tom Macdonald,original,13,"I'm not the white Devil, neo-Nazi, cop tryna pull the trigger"
309,Tom Macdonald,original,14,You can call me what you want but I'd still never say—
310,Tom Macdonald,original,15,The white race as a whole ain't the enemy
311,Tom Macdonald,original,16,There's racist white people but we're far from that collectively
312,Tom Macdonald,original,17,"White boy, don't say that"
313,Tom Macdonald,original,18,"White boy, oh, you so bad"
314,Tom Macdonald,original,19,"White boy, you wish you were black"
315,Tom Macdonald,original,20,"White boy, dear white boy"
316,Tom Macdonald,original,21,"White boy, white noise"
317,Tom Macdonald,original,22,Sayin' shit I can't say with my white voice
318,Tom Macdonald,original,23,"White boys, white lies"
319,Tom Macdonald,original,24,Don't tell me how to see it through my white eyes
320,Tom Macdonald,original,25,If a black man is sippin' on some Cognac sittin' next to me
321,Tom Macdonald,original,26,I don't assume that every black's favorite drink is Hennessy
322,Tom Macdonald,original,27,I don't dislike Tanesha 'cause her first name isn't Stephanie
323,Tom Macdonald,original,28,"Not only is that wrong, it's a fuckin' waste of energy"
324,Tom Macdonald,original,29,"Ivory or ebony, forty-five or seventeen"
325,Tom Macdonald,original,30,"We all bleed the same, Martin Luther King or Kennedy"
326,Tom Macdonald,original,31,They're angry I'm recitin' the facts
327,Tom Macdonald,original,32,"""He's white and he raps, he stole the culture right from the blacks"
328,Tom Macdonald,original,33,"Okay, he's fire but we lit the flame, he's siphoning gas"
329,Tom Macdonald,original,34,"So fuck this corny little honky, man, the whitey is wack"""
330,Tom Macdonald,original,35,You lettin' history perpetuate the hatred within
331,Tom Macdonald,original,36,"And then you paint me with the brush you painted slave owners with, yeah"
332,Tom Macdonald,original,37,"White boy, don't say that"
333,Tom Macdonald,original,38,"White boy, oh, you so bad"
334,Tom Macdonald,original,39,"White boy, you wish you were black"
335,Tom Macdonald,original,40,"White boy, dear white boy"
336,Tom Macdonald,original,41,"White boy, white noise"
337,Tom Macdonald,original,42,Sayin' shit I can't say with my white voice
338,Tom Macdonald,original,43,"White boys, white lies"
339,Tom Macdonald,original,44,Don't tell me how to see it through my white eyes
340,Tom Macdonald,original,45,"I got a mother, a father, a sister, an auntie, and uncle"
341,Tom Macdonald,original,46,And a grandma that I picture when you're openly hatin'
342,Tom Macdonald,original,47,And God willin' one day I'll have a kid of my own
343,Tom Macdonald,original,48,I refuse to let you blindly hate my wife or my baby
344,Tom Macdonald,original,49,"So go ahead and hate the racists, I pray for their extinction"
345,Tom Macdonald,original,50,"If you wanna hate the white people, just make a distinction"
346,Tom Macdonald,original,51,Between the ones who want the best for everyone regardless
347,Tom Macdonald,original,52,And the ones who built the system just to smother you with hardship
348,Tom Macdonald,original,53,"So stop before you say it, I know what you been thinkin'"
349,Tom Macdonald,original,54,How's a straight white male in 2018 bitchin'?
350,Tom Macdonald,original,55,You're makin' me the villain by demonizin' my race
351,Tom Macdonald,original,56,For things I didn't do and decisions I didn't make
352,Tom Macdonald,original,57,No one that I call a friend has ever owned a slave
353,Tom Macdonald,original,58,"And neither did our dads, or our dad's dads, fuck sakes"
354,Tom Macdonald,original,59,Acknowledging atrocities were wrongly committed
355,Tom Macdonald,original,60,Is all that I can offer when I'm wrongly convicted
356,Tom Macdonald,original,61,I would never hate a man for what God gave him in pigments
357,Tom Macdonald,original,62,And I would never plot against him just because he is different
358,Tom Macdonald,original,63,I would never judge a human for the cards he was given
359,Tom Macdonald,original,64,Or call him lesser than myself 'cause of the race that he's mixed with
360,Tom Macdonald,original,65,White people that you hate aren't your neighbors or lawyers
361,Tom Macdonald,original,66,"They're the Rockefellers, Rothschilds, Bushes, and royals"
362,Tom Macdonald,original,67,They're the people who monopolize the water and oil
363,Tom Macdonald,original,68,And injected your communities with drugs so they spoiled
364,Tom Macdonald,original,69,"Got no patience for Nazis, I think they're better off dead"
365,Tom Macdonald,original,70,They're fightin' hatred with hatred makin' the hate more intense
366,Tom Macdonald,original,71,I don't want nothin' to do with either side of the fence
367,Tom Macdonald,original,72,So don't blindly attack me for wearin' braids on my head
368,Tom Macdonald,original,73,Hate the people who believe you put yourselves in the ghetto
369,Tom Macdonald,original,74,Hate the ones who teach they children you ain't shit 'cause they said so
370,Tom Macdonald,original,75,Hate the ones who think you're all the same and judge you profusely
371,Tom Macdonald,original,76,'Cause the way that you're portrayed on our news and in movies
372,Tom Macdonald,original,77,"Bein' white and bein' racist aren't the same, man, I promise"
373,Tom Macdonald,original,78,Know it's hard to tell the difference if I'm just bein' honest
374,Tom Macdonald,original,79,I deserve the chance to show you I'm not part of the problem
375,Tom Macdonald,original,80,"And you owe it to yourselves, we got so much in common"
376,Tom Macdonald,original,81,"White boy, don't say that"
377,Tom Macdonald,original,82,"White boy, oh, you so bad"
378,Tom Macdonald,original,83,"White boy, you wish you were black"
379,Tom Macdonald,original,84,"White boy, dear white boy"
380,Tom Macdonald,original,85,"White boy, white noise"
381,Tom Macdonald,original,86,Sayin' shit I can't say with my white voice
382,Tom Macdonald,original,87,"White boys, white lies"
383,Tom Macdonald,original,88,Don't tell me how to see it through my white eyes
384,Tom Macdonald,original,89,"White boy, don't say that"
385,Tom Macdonald,original,90,"White boy, oh, you so bad"
386,Tom Macdonald,original,91,"White boy, you wish you were black"
387,Tom Macdonald,original,92,"White boy, dear white boy"
388,Tom Macdonald,transformed,1,I cannot feel guilty for things I didn’t do
389,Tom Macdonald,transformed,2,But I can take the time to learn and listen to you
390,Tom Macdonald,transformed,3,"Yeah, I’m standin’, but I never put your neck in a noose"
391,Tom Macdonald,transformed,4,And I never burnt a cross or hid my face with a hood
392,Tom Macdonald,transformed,5,"I know that history’s painful, it’s deeper than me"
393,Tom Macdonald,transformed,6,And the struggles of the past still shape what people now see
394,Tom Macdonald,transformed,7,My parents told me always treat everyone as equal
395,Tom Macdonald,transformed,8,And I refuse to let division turn us into evil
396,Tom Macdonald,transformed,9,"I reject hatred, I reject supremacy"
397,Tom Macdonald,transformed,10,I reject any voice that thrives on bigotry
398,Tom Macdonald,transformed,11,"We gotta heal together, the cycle is pathetic"
399,Tom Macdonald,transformed,12,"Instead of building walls, let’s build respect empathetic"
400,Tom Macdonald,transformed,13,"I’m not the villain, not the one pulling a trigger"
401,Tom Macdonald,transformed,14,I’m learning every day how to stand up bigger
402,Tom Macdonald,transformed,15,"The system has its flaws, but together we can fight"
403,Tom Macdonald,transformed,16,To make the world a place where we all share the light
404,Tom Macdonald,transformed,17,"Stand up, don’t say that"
405,Tom Macdonald,transformed,18,"Stand up, learn the facts"
406,Tom Macdonald,transformed,19,"Stand up, use your voice back"
407,Tom Macdonald,transformed,20,"Stand up, dear ally"
408,Tom Macdonald,transformed,21,"Stand up, make noise"
409,Tom Macdonald,transformed,22,Sayin’ things that can lift with a true voice
410,Tom Macdonald,transformed,23,"Stand tall, stand wise"
411,Tom Macdonald,transformed,24,Try to see the world through another’s eyes
412,Tom Macdonald,transformed,25,If a brother is sippin’ on a drink right next to me
413,Tom Macdonald,transformed,26,I don’t assume that his taste defines his whole identity
414,Tom Macdonald,transformed,27,"I don’t judge by a name, I don’t waste energy"
415,Tom Macdonald,transformed,28,"That’s not the life I want, and it’s not integrity"
416,Tom Macdonald,transformed,29,"Ivory or ebony, forty-five or seventeen"
417,Tom Macdonald,transformed,30,"We all bleed the same, truth connects humanity"
418,Tom Macdonald,transformed,31,Some say that I don’t have the right to rap on the track
419,Tom Macdonald,transformed,32,"But I’m here to give respect, not to take it all back"
420,Tom Macdonald,transformed,33,"I acknowledge where it started, I acknowledge the flame"
421,Tom Macdonald,transformed,34,"But together we can build, not repeat all the same"
422,Tom Macdonald,transformed,35,Don’t let history define how the hate will begin
423,Tom Macdonald,transformed,36,We gotta paint the future with a new brush within
424,Tom Macdonald,transformed,37,"Stand up, don’t say that"
425,Tom Macdonald,transformed,38,"Stand up, learn the facts"
426,Tom Macdonald,transformed,39,"Stand up, use your voice back"
427,Tom Macdonald,transformed,40,"Stand up, dear ally"
428,Tom Macdonald,transformed,41,"Stand up, make noise"
429,Tom Macdonald,transformed,42,Sayin’ things that can lift with a true voice
430,Tom Macdonald,transformed,43,"Stand tall, stand wise"
431,Tom Macdonald,transformed,44,Try to see the world through another’s eyes
432,Tom Macdonald,transformed,45,"I got a mother, a father, a sister, and friends"
433,Tom Macdonald,transformed,46,"And I pray that when the hatred ends, the healing begins"
434,Tom Macdonald,transformed,47,And one day I’ll be raising a family too
435,Tom Macdonald,transformed,48,"I want a better world for them, and for you"
436,Tom Macdonald,transformed,49,"So go ahead and hate injustice, I pray for its extinction"
437,Tom Macdonald,transformed,50,But please make the line clear with a careful distinction
438,Tom Macdonald,transformed,51,Between the ones who spread love and want the best for all
439,Tom Macdonald,transformed,52,And the ones who built a system made to watch some fall
440,Tom Macdonald,transformed,53,"I hear the question rising, I know what you been thinkin’"
441,Tom Macdonald,transformed,54,“How’s a man of privilege say his ship is sinkin’?”
